Ngày,Diện tích,Dài,Rộng,Giá/m2
28-07-2020,40 m²,10 m,4 m,90 triệu/m²
28-07-2020,25 m²,6 m,4.5 m,102 triệu/m²
28-07-2020,25 m²,5 m,5 m,120 triệu/m²
28-07-2020,38 m²,11.5 m,3.3 m,"102,63 triệu/m²"
28-07-2020,30 m²,9 m,3.5 m,"56,67 triệu/m²"
28-07-2020,34 m²,10 m,3 m,"102,94 triệu/m²"
28-07-2020,78 m²,13 m,6 m,"112,82 triệu/m²"
28-07-2020,32 m²,9 m,4 m,"76,56 triệu/m²"
28-07-2020,50 m²,14 m,3.5 m,86 triệu/m²
28-07-2020,60 m²,11 m,5.5 m,"558,33 triệu/m²"
28-07-2020,30 m²,7.14 m,4.2 m,"56,67 triệu/m²"
28-07-2020,52 m²,6.5 m,8 m,"90,38 triệu/m²"
28-07-2020,54 m²,14 m,5 m,"103,7 triệu/m²"
28-07-2020,200 m²,25 m,8 m,25 triệu/m²
28-07-2020,50 m²,12 m,4 m,160 triệu/m²
28-07-2020,40 m²,10 m,4 m,70 triệu/m²
28-07-2020,35 m²,10 m,3.7 m,"88,57 triệu/m²"
28-07-2020,25 m²,7 m,4.1 m,112 triệu/m²
28-07-2020,30 m²,8.8 m,3.64 m,64 triệu/m²
28-07-2020,40 m²,9 m,3.3 m,70 triệu/m²
28-07-2020,33 m²,9 m,3.7 m,"101,52 triệu/m²"
28-07-2020,14 m²,5 m,2.8 m,"101,43 triệu/m²"
28-07-2020,98 m²,13 m,4.5 m,"47,96 triệu/m²"
28-07-2020,40 m²,100 m,33 m,130 triệu/m²
28-07-2020,24 m²,6 m,4 m,"62,5 triệu/m²"
28-07-2020,40 m²,8 m,5 m,"147,5 triệu/m²"
28-07-2020,44 m²,10 m,4.3 m,"72,73 triệu/m²"
28-07-2020,45 m²,9 m,5 m,"32,89 triệu/m²"
28-07-2020,32 m²,10 m,3.2 m,"89,06 triệu/m²"
28-07-2020,51 m²,12.75 m,4 m,"52,94 triệu/m²"
28-07-2020,56 m²,15 m,4 m,"78,57 triệu/m²"
28-07-2020,57 m²,13 m,4 m,"114,04 triệu/m²"
28-07-2020,44 m²,4 m,11 m,"340,91 triệu/m²"
28-07-2020,40 m²,10 m,4 m,"172,5 triệu/m²"
28-07-2020,53 m²,12 m,3.5 m,"141,51 triệu/m²"
28-07-2020,30 m²,7 m,4 m,"4,23 triệu/m²"
28-07-2020,41 m²,12 m,3.4 m,"148,78 triệu/m²"
28-07-2020,320 m²,28 m,11 m,"234,38 triệu/m²"
28-07-2020,70 m²,18 m,3.6 m,"104,29 triệu/m²"
28-07-2020,32 m²,6 m,5 m,"70,31 triệu/m²"
28-07-2020,35 m²,10 m,3 m,"154,29 triệu/m²"
28-07-2020,32 m²,11 m,32 m,"93,75 triệu/m²"
28-07-2020,27 m²,6.7 m,4 m,"66,67 triệu/m²"
28-07-2020,27 m²,780 m,350 m,"129,63 triệu/m²"
28-07-2020,50 m²,11.9 m,4.2 m,115 triệu/m²
28-07-2020,57 m²,15.4 m,3.7 m,"203,51 triệu/m²"
28-07-2020,45 m²,13 m,3.5 m,"65,56 triệu/m²"
28-07-2020,34 m²,10 m,35 m,"80,88 triệu/m²"
28-07-2020,165 m²,19 m,9 m,"65,45 triệu/m²"
28-07-2020,40 m²,4 m,4 m,"77,5 triệu/m²"
28-07-2020,30 m²,8 m,3.9 m,"93,33 triệu/m²"
28-07-2020,44 m²,11.5 m,3.8 m,"147,73 triệu/m²"
28-07-2020,38 m²,10 m,3.8 m,"111,84 triệu/m²"
28-07-2020,40 m²,10 m,4 m,"102,5 triệu/m²"
28-07-2020,31 m²,6 m,5 m,"64,52 triệu/m²"
28-07-2020,50 m²,10 m,5 m,218 triệu/m²
28-07-2020,29 m²,8 m,4 m,"96,55 triệu/m²"
28-07-2020,60 m²,9 m,7 m,70 triệu/m²
28-07-2020,50 m²,45 m,11 m,210 triệu/m²
28-07-2020,65 m²,9.5 m,7 m,"112,31 triệu/m²"
28-07-2020,35 m²,8 m,4.3 m,"97,14 triệu/m²"
28-07-2020,45 m²,7 m,6 m,"64,44 triệu/m²"
28-07-2020,38 m²,10 m,3.5 m,"217,11 triệu/m²"
28-07-2020,45 m²,7 m,7 m,"64,44 triệu/m²"
28-07-2020,19 m²,5 m,4 m,"102,63 triệu/m²"
28-07-2020,31 m²,10 m,3 m,"76,77 triệu/m²"
28-07-2020,22 m²,6 m,4 m,"104,55 triệu/m²"
28-07-2020,57 m²,8.2 m,7 m,"124,56 triệu/m²"
28-07-2020,58 m²,13.5 m,4.5 m,"63,79 triệu/m²"
28-07-2020,31 m²,8 m,4 m,"87,1 triệu/m²"
28-07-2020,30 m²,12.54 m,2.37 m,"82,67 triệu/m²"
28-07-2020,90 m²,9 m,10 m,"116,67 triệu/m²"
28-07-2020,35 m²,10 m,3.6 m,"84,29 triệu/m²"
28-07-2020,23 m²,6 m,4 m,"86,96 triệu/m²"
28-07-2020,30 m²,4.5 m,7 m,"88,33 triệu/m²"
28-07-2020,34 m²,8.75 m,4 m,"67,65 triệu/m²"
28-07-2020,50 m²,11 m,4.5 m,166 triệu/m²
28-07-2020,150 m²,15 m,10 m,"76,67 triệu/m²"
28-07-2020,28 m²,7 m,4 m,125 triệu/m²
28-07-2020,60 m²,15 m,4 m,130 triệu/m²
28-07-2020,35 m²,7 m,5 m,"182,86 triệu/m²"
28-07-2020,41 m²,9.8 m,3.8 m,"114,63 triệu/m²"
28-07-2020,32 m²,8.75 m,3.6 m,"73,44 triệu/m²"
28-07-2020,35 m²,7 m,5 m,"182,86 triệu/m²"
28-07-2020,60 m²,8 m,8 m,128 triệu/m²
28-07-2020,35 m²,9 m,4 m,"41,43 triệu/m²"
28-07-2020,56 m²,12 m,4.5 m,"139,29 triệu/m²"
28-07-2020,68 m²,15 m,4.5 m,"245,59 triệu/m²"
28-07-2020,45 m²,11 m,4 m,"153,33 triệu/m²"
28-07-2020,50 m²,12.5 m,4 m,"131,8 triệu/m²"
28-07-2020,38 m²,9.6 m,4.2 m,"110,53 triệu/m²"
28-07-2020,38 m²,12 m,3.5 m,"59,21 triệu/m²"
28-07-2020,45 m²,9 m,5 m,"111,11 triệu/m²"
28-07-2020,30 m²,10 m,3 m,"76,67 triệu/m²"
28-07-2020,55 m²,14 m,4.2 m,"72,73 triệu/m²"
28-07-2020,69 m²,15 m,4 m,"253,62 triệu/m²"
28-07-2020,50 m²,10 m,5 m,170 triệu/m²
28-07-2020,35 m²,11.6 m,3 m,"85,71 triệu/m²"
28-07-2020,70 m²,7 m,10 m,"77,14 triệu/m²"
28-07-2020,39 m²,9.75 m,4 m,"87,18 triệu/m²"
28-07-2020,39 m²,10 m,4 m,"102,56 triệu/m²"
28-07-2020,32 m²,10 m,3.2 m,"134,38 triệu/m²"
28-07-2020,30 m²,10 m,3 m,"88,33 triệu/m²"
28-07-2020,46 m²,10.5 m,4.5 m,"56,52 triệu/m²"
28-07-2020,68 m²,14 m,5 m,"97,06 triệu/m²"
28-07-2020,38 m²,10 m,3.8 m,"60,53 triệu/m²"
28-07-2020,34 m²,7 m,5 m,"49,41 triệu/m²"
28-07-2020,31 m²,6 m,5 m,"72,58 triệu/m²"
28-07-2020,52 m²,11.85 m,4.2 m,125 triệu/m²
28-07-2020,70 m²,14.1 m,5 m,"242,86 triệu/m²"
28-07-2020,38 m²,12 m,3.5 m,"36,84 triệu/m²"
28-07-2020,38 m²,13 m,3.5 m,"37,63 triệu/m²"
28-07-2020,60 m²,12 m,5 m,125 triệu/m²
28-07-2020,22 m²,9 m,3 m,"111,36 triệu/m²"
28-07-2020,54 m²,13 m,4 m,"157,22 triệu/m²"
28-07-2020,35 m²,9 m,4 m,"108,57 triệu/m²"
28-07-2020,35 m²,9 m,3.8 m,"85,71 triệu/m²"
28-07-2020,40 m²,10 m,4 m,"77,5 triệu/m²"
28-07-2020,32 m²,9 m,3.5 m,"73,44 triệu/m²"
28-07-2020,33 m²,11 m,3 m,"60,61 triệu/m²"
28-07-2020,31 m²,7.5 m,4 m,"72,26 triệu/m²"
28-07-2020,40 m²,12 m,3.4 m,"116,25 triệu/m²"
28-07-2020,30 m²,8 m,4 m,100 triệu/m²
28-07-2020,30 m²,7 m,4 m,75 triệu/m²
28-07-2020,30 m²,9 m,3.4 m,80 triệu/m²
28-07-2020,58 m²,10 m,5 m,"77,59 triệu/m²"
28-07-2020,40 m²,8 m,5 m,"73,75 triệu/m²"
28-07-2020,30 m²,10 m,3.2 m,"56,67 triệu/m²"
28-07-2020,35 m²,12 m,3 m,50 triệu/m²
28-07-2020,245 m²,25 m,10 m,"34,69 triệu/m²"
28-07-2020,46 m²,11.3 m,4.2 m,"121,74 triệu/m²"
28-07-2020,40 m²,10 m,4 m,"6,5 tỷ/m²"
28-07-2020,72 m²,12 m,6 m,"47,22 triệu/m²"
28-07-2020,48 m²,13 m,3.5 m,1 tỷ/m²
28-07-2020,154 m²,22 m,7 m,"74,68 triệu/m²"
28-07-2020,40 m²,6.9 m,5.8 m,"131,25 triệu/m²"
28-07-2020,45 m²,11 m,4 m,"148,89 triệu/m²"
28-07-2020,32 m²,8 m,4 m,100 triệu/m²
28-07-2020,16 m²,5.5 m,2.8 m,"88,75 triệu/m²"
28-07-2020,35 m²,10 m,3 m,100 triệu/m²
28-07-2020,30 m²,9 m,3.5 m,"76,67 triệu/m²"
28-07-2020,42 m²,7 m,6 m,"134,52 triệu/m²"
28-07-2020,31 m²,9 m,3.5 m,"91,94 triệu/m²"
28-07-2020,43 m²,9.5 m,45 m,"86,05 triệu/m²"
28-07-2020,70 m²,14 m,5 m,"182,71 triệu/m²"
28-07-2020,39 m²,11 m,3.6 m,"35,9 triệu/m²"
28-07-2020,100 m²,10 m,5 m,68 triệu/m²
28-07-2020,83 m²,12 m,7 m,"39,76 triệu/m²"
28-07-2020,56 m²,915 m,525 m,"72,32 triệu/m²"
28-07-2020,35 m²,9 m,34 m,"82,86 triệu/m²"
28-07-2020,40 m²,11 m,3.5 m,"92,5 triệu/m²"
28-07-2020,31 m²,9.29 m,3.4 m,"85,48 triệu/m²"
28-07-2020,38 m²,10 m,3.5 m,"85,53 triệu/m²"
28-07-2020,38 m²,9.8 m,4.2 m,"109,21 triệu/m²"
28-07-2020,30 m²,6 m,5 m,90 triệu/m²
28-07-2020,31 m²,9 m,3.8 m,"101,61 triệu/m²"
28-07-2020,40 m²,10 m,4 m,68.750 đ/m²
28-07-2020,31 m²,9 m,35 m,"91,94 triệu/m²"
28-07-2020,50 m²,10 m,5 m,129 triệu/m²
28-07-2020,130 m²,21 m,6 m,"230,77 triệu/m²"
28-07-2020,50 m²,8 m,7 m,104 triệu/m²
28-07-2020,45 m²,9 m,4.9 m,"86,67 triệu/m²"
28-07-2020,56 m²,11 m,5 m,"68,75 triệu/m²"
28-07-2020,45 m²,9 m,5 m,130 triệu/m²
28-07-2020,54 m²,11 m,4.7 m,"100,93 triệu/m²"
28-07-2020,40 m²,8 m,5 m,125 triệu/m²
28-07-2020,45 m²,11.9 m,3.7 m,"102,22 triệu/m²"
28-07-2020,55 m²,14 m,4 m,"227,27 triệu/m²"
28-07-2020,35 m²,12 m,3.5 m,"82,86 triệu/m²"
28-07-2020,92 m²,15.8 m,5.8 m,"233,7 triệu/m²"
28-07-2020,95 m²,19 m,5 m,"74,74 triệu/m²"
28-07-2020,45 m²,10 m,4.5 m,"76,67 triệu/m²"
28-07-2020,48 m²,12 m,4 m,"67,71 triệu/m²"
28-07-2020,65 m²,10 m,6.5 m,"126,09 triệu/m²"
28-07-2020,45 m²,11 m,4 m,"84,44 triệu/m²"
28-07-2020,40 m²,11.4 m,3.5 m,"73,75 triệu/m²"
28-07-2020,45 m²,10 m,4 m,"95,56 triệu/m²"
28-07-2020,32 m²,8.3 m,3.7 m,"73,44 triệu/m²"
28-07-2020,42 m²,10 m,4 m,"95,24 triệu/m²"
28-07-2020,32 m²,9.5 m,4 m,"90,31 triệu/m²"
28-07-2020,30 m²,8 m,4 m,"77,33 triệu/m²"
28-07-2020,32 m²,10 m,3.3 m,"117,19 triệu/m²"
28-07-2020,40 m²,13 m,3.5 m,"121,25 triệu/m²"
28-07-2020,32 m²,8 m,4 m,"104,69 triệu/m²"
28-07-2020,60 m²,12 m,5 m,"83,33 triệu/m²"
28-07-2020,72 m²,145 m,5 m,"120,11 triệu/m²"
28-07-2020,45 m²,9 m,5 m,"66,67 triệu/m²"
28-07-2020,75 m²,11 m,6.5 m,84 triệu/m²
28-07-2020,35 m²,9 m,4 m,"94,29 triệu/m²"
28-07-2020,31 m²,9.5 m,4 m,"48,39 triệu/m²"
28-07-2020,25 m²,6 m,4 m,92 triệu/m²
28-07-2020,47 m²,12 m,4 m,"85,11 triệu/m²"
28-07-2020,33 m²,9 m,3.5 m,100 triệu/m²
28-07-2020,33 m²,10 m,3.3 m,"75,76 triệu/m²"
28-07-2020,33 m²,9 m,4.45 m,"63,64 triệu/m²"
28-07-2020,35 m²,10 m,3.5 m,"82,86 triệu/m²"
28-07-2020,55 m²,11 m,5 m,100 triệu/m²
28-07-2020,33 m²,8.2 m,4 m,"84,24 triệu/m²"
28-07-2020,30 m²,9.3 m,3.1 m,"88,33 triệu/m²"
28-07-2020,40 m²,8 m,5 m,90 triệu/m²
28-07-2020,35 m²,9.5 m,4 m,"46,57 triệu/m²"
28-07-2020,90 m²,15 m,6 m,"81,11 triệu/m²"
28-07-2020,32 m²,16 m,4 m,"96,88 triệu/m²"
28-07-2020,31 m²,10.3 m,3 m,"79,03 triệu/m²"
28-07-2020,38 m²,10.25 m,3.6 m,50 triệu/m²
28-07-2020,50 m²,10 m,5 m,80 triệu/m²
28-07-2020,58 m²,13 m,4 m,"103,45 triệu/m²"
28-07-2020,36 m²,8 m,4 m,"134,72 triệu/m²"
28-07-2020,42 m²,13 m,3.5 m,"78,57 triệu/m²"
28-07-2020,45 m²,10 m,35 m,"37,78 triệu/m²"
28-07-2020,32 m²,10 m,3.3 m,100 triệu/m²
28-07-2020,40 m²,11.5 m,3.5 m,80 triệu/m²
28-07-2020,59 m²,15 m,3.6 m,"115,25 triệu/m²"
28-07-2020,35 m²,5 m,7 m,"78,57 triệu/m²"
28-07-2020,20 m²,7 m,3 m,"97,5 triệu/m²"
28-07-2020,45 m²,10.2 m,4 m,60 triệu/m²
28-07-2020,37 m²,11.5 m,3.2 m,"75,68 triệu/m²"
28-07-2020,80 m²,16 m,5 m,"212,5 triệu/m²"
28-07-2020,60 m²,10 m,6 m,330 triệu/m²
28-07-2020,32 m²,11 m,3 m,"67,19 triệu/m²"
28-07-2020,31 m²,5 m,6 m,"95,16 triệu/m²"
28-07-2020,35 m²,11 m,3 m,70 triệu/m²
28-07-2020,30 m²,75 m,4 m,40 triệu/m²
28-07-2020,26 m²,6 m,4 m,"91,54 triệu/m²"
28-07-2020,20 m²,6 m,3.2 m,70 triệu/m²
28-07-2020,38 m²,8 m,5 m,"81,58 triệu/m²"
28-07-2020,40 m²,10 m,4 m,80 triệu/m²
28-07-2020,29 m²,5.9 m,5.15 m,"81,03 triệu/m²"
28-07-2020,18 m²,5 m,4 m,"116,67 triệu/m²"
28-07-2020,25 m²,6 m,3.6 m,124 triệu/m²
28-07-2020,42 m²,10 m,4.2 m,"92,86 triệu/m²"
28-07-2020,32 m²,9 m,3.8 m,"112,5 triệu/m²"
28-07-2020,35 m²,11 m,3 m,80 triệu/m²
28-07-2020,27 m²,6.5 m,4.1 m,"99,26 triệu/m²"
28-07-2020,55 m²,11 m,4.7 m,"116,36 triệu/m²"
28-07-2020,38 m²,10 m,3.8 m,"73,68 triệu/m²"
28-07-2020,180 m²,12 m,12 m,"133,33 triệu/m²"
28-07-2020,39 m²,10 m,3.9 m,"94,36 triệu/m²"
28-07-2020,32 m²,75 m,4 m,881.250 đ/m²
28-07-2020,40 m²,13 m,3 m,"107,5 triệu/m²"
28-07-2020,60 m²,6 m,10 m,80 triệu/m²
28-07-2020,40 m²,10 m,4 m,"97,5 triệu/m²"
28-07-2020,54 m²,12 m,5 m,"87,04 triệu/m²"
28-07-2020,35 m²,9 m,4 m,"64,29 triệu/m²"
28-07-2020,85 m²,7.3 m,12 m,"41,18 triệu/m²"
28-07-2020,40 m²,8 m,4 m,75 triệu/m²
28-07-2020,60 m²,8 m,7 m,"118,33 triệu/m²"
28-07-2020,35 m²,10 m,3.6 m,"114,29 triệu/m²"
28-07-2020,32 m²,10 m,3.2 m,75 triệu/m²
28-07-2020,45 m²,12 m,4 m,"133,33 triệu/m²"
28-07-2020,43 m²,7 m,6 m,"134,88 triệu/m²"
28-07-2020,35 m²,10 m,3.5 m,"112,86 triệu/m²"
28-07-2020,32 m²,10 m,4 m,"48,44 triệu/m²"
28-07-2020,55 m²,13 m,4 m,"60,91 triệu/m²"
28-07-2020,50 m²,10 m,5 m,130 triệu/m²
28-07-2020,48 m²,12 m,4 m,"245,83 triệu/m²"
28-07-2020,60 m²,15 m,4 m,"291,67 triệu/m²"
28-07-2020,70 m²,13 m,5 m,"54,29 triệu/m²"
28-07-2020,47 m²,16.7 m,2.8 m,"106,38 triệu/m²"
28-07-2020,30 m²,6.77 m,4.45 m,"61,67 triệu/m²"
28-07-2020,82 m²,14 m,5 m,"71,34 triệu/m²"
28-07-2020,50 m²,8 m,6 m,114 triệu/m²
28-07-2020,45 m²,12 m,3.5 m,"133,33 triệu/m²"
28-07-2020,28 m²,9 m,3.3 m,"80,36 triệu/m²"
28-07-2020,35 m²,12 m,3 m,"95,71 triệu/m²"
28-07-2020,85 m²,14 m,6 m,"69,41 triệu/m²"
28-07-2020,57 m²,14.5 m,4 m,149.122 đ/m²
28-07-2020,65 m²,15 m,4 m,"55,38 triệu/m²"
28-07-2020,48 m²,12 m,4 m,"81,25 triệu/m²"
28-07-2020,40 m²,11 m,3.5 m,70 triệu/m²
28-07-2020,34 m²,9.5 m,3.8 m,"83,82 triệu/m²"
28-07-2020,30 m²,13 m,4 m,"98,33 triệu/m²"
28-07-2020,35 m²,11 m,3.65 m,110 triệu/m²
28-07-2020,40 m²,10 m,4 m,90 triệu/m²
28-07-2020,42 m²,12 m,3.6 m,"91,67 triệu/m²"
28-07-2020,40 m²,10 m,4 m,90 triệu/m²
28-07-2020,38 m²,11 m,4 m,"92,11 triệu/m²"
28-07-2020,45 m²,12 m,5 m,"111,11 triệu/m²"
28-07-2020,39 m²,10 m,4 m,"92,31 triệu/m²"
28-07-2020,40 m²,8 m,5 m,150 triệu/m²
28-07-2020,45 m²,9 m,5 m,"115,56 triệu/m²"
28-07-2020,32 m²,38 m,35 m,"67,5 triệu/m²"
28-07-2020,31 m²,10 m,3.3 m,"43,55 triệu/m²"
28-07-2020,35 m²,9 m,4 m,"47,43 triệu/m²"
28-07-2020,35 m²,10 m,4 m,"71,43 triệu/m²"
28-07-2020,40 m²,10 m,4 m,"92,5 triệu/m²"
28-07-2020,50 m²,10 m,5 m,130 triệu/m²
28-07-2020,36 m²,10 m,3.6 m,"54,17 triệu/m²"
28-07-2020,44 m²,9 m,4.8 m,"93,18 triệu/m²"
28-07-2020,30 m²,8.1 m,3.7 m,100 triệu/m²
28-07-2020,35 m²,7 m,4.5 m,"94,29 triệu/m²"
28-07-2020,35 m²,9 m,4 m,"78,57 triệu/m²"
28-07-2020,30 m²,13 m,4 m,"98,33 triệu/m²"
28-07-2020,41 m²,10 m,4 m,"85,37 triệu/m²"
28-07-2020,35 m²,6.5 m,5.2 m,"94,29 triệu/m²"
28-07-2020,55 m²,14 m,4 m,"130,91 triệu/m²"
28-07-2020,36 m²,9 m,4 m,"75,56 triệu/m²"
28-07-2020,35 m²,9 m,4 m,180 triệu/m²
28-07-2020,55 m²,13.8 m,4 m,"33,96 triệu/m²"
28-07-2020,60 m²,14 m,5 m,"208,33 triệu/m²"
28-07-2020,48 m²,12 m,3.8 m,"95,83 triệu/m²"
28-07-2020,33 m²,6 m,5.5 m,"287,88 triệu/m²"
28-07-2020,53 m²,12 m,4.5 m,"73,58 triệu/m²"
28-07-2020,192 m²,16 m,12 m,"124,47 triệu/m²"
28-07-2020,37 m²,12.5 m,3 m,"55,41 triệu/m²"
28-07-2020,80 m²,16 m,5 m,"107,5 triệu/m²"
28-07-2020,55 m²,11 m,5 m,"123,64 triệu/m²"
28-07-2020,44 m²,11 m,4 m,"147,73 triệu/m²"
28-07-2020,41 m²,10 m,4 m,"170,73 triệu/m²"
28-07-2020,35 m²,11 m,3.3 m,"41,43 triệu/m²"
28-07-2020,80 m²,17 m,4.5 m,"193,75 triệu/m²"
28-07-2020,23 m²,6.3 m,3.6 m,"113,04 triệu/m²"
28-07-2020,37 m²,10500 m,3400 m,"86,49 triệu/m²"
28-07-2020,38 m²,10 m,4 m,"37,37 triệu/m²"
28-07-2020,59 m²,12 m,4.8 m,"116,95 triệu/m²"
28-07-2020,75 m²,12 m,300 m,84 triệu/m²
28-07-2020,34 m²,12 m,2.8 m,"288,24 triệu/m²"
28-07-2020,42 m²,10.5 m,4 m,"195,24 triệu/m²"
28-07-2020,31 m²,10.3 m,3 m,"80,65 triệu/m²"
28-07-2020,63 m²,20 m,3 m,"63,49 triệu/m²"
28-07-2020,45 m²,12 m,4 m,"244,44 triệu/m²"
28-07-2020,60 m²,12 m,5 m,"113,33 triệu/m²"
28-07-2020,36 m²,12 m,3 m,"54,17 triệu/m²"
28-07-2020,45 m²,11 m,4 m,"93,33 triệu/m²"
28-07-2020,50 m²,11 m,4.5 m,243 triệu/m²
28-07-2020,31 m²,10 m,3 m,"60,32 triệu/m²"
28-07-2020,40 m²,8 m,5 m,"96,25 triệu/m²"
28-07-2020,58 m²,14 m,4 m,"51,72 triệu/m²"
28-07-2020,72 m²,17 m,4.2 m,"80,56 triệu/m²"
28-07-2020,35 m²,9 m,4 m,"88,57 triệu/m²"
28-07-2020,40 m²,13 m,3.1 m,"112,5 triệu/m²"
28-07-2020,33 m²,10 m,3.25 m,50 triệu/m²
28-07-2020,42 m²,7 m,6 m,"164,02 triệu/m²"
28-07-2020,45 m²,11 m,4 m,"74,44 triệu/m²"
28-07-2020,30 m²,9 m,4 m,65 triệu/m²
28-07-2020,43 m²,8 m,5 m,"116,28 triệu/m²"
28-07-2020,86 m²,21.5 m,4 m,"81,4 triệu/m²"
28-07-2020,55 m²,12 m,3.5 m,"83,64 triệu/m²"
28-07-2020,46 m²,11 m,4 m,"52,17 triệu/m²"
28-07-2020,72 m²,15.71 m,7.6 m,"115,28 triệu/m²"
28-07-2020,41 m²,11.5 m,3.7 m,"93,9 triệu/m²"
28-07-2020,70 m²,35 m,4 m,"72,86 triệu/m²"
28-07-2020,160 m²,16 m,10 m,"240,63 triệu/m²"
28-07-2020,36 m²,7 m,5 m,"51,94 triệu/m²"
28-07-2020,35 m²,10 m,3.5 m,"43,43 triệu/m²"
28-07-2020,43 m²,9 m,5 m,"88,37 triệu/m²"
28-07-2020,40 m²,8 m,5 m,"108,75 triệu/m²"
28-07-2020,45 m²,11 m,4 m,"86,67 triệu/m²"
28-07-2020,50 m²,12 m,4 m,160 triệu/m²
28-07-2020,25 m²,5 m,5 m,60 triệu/m²
28-07-2020,104 m²,15 m,7 m,"442,31 triệu/m²"
28-07-2020,35 m²,9 m,4 m,"94,29 triệu/m²"
28-07-2020,150 m²,30 m,5 m,10 triệu/m²
28-07-2020,30 m²,7.5 m,4 m,"69,33 triệu/m²"
28-07-2020,35 m²,7 m,5 m,"94,29 triệu/m²"
28-07-2020,38 m²,9 m,4 m,"71,05 triệu/m²"
28-07-2020,45 m²,10 m,4 m,"87,78 triệu/m²"
28-07-2020,70 m²,10 m,7 m,"535,71 triệu/m²"
28-07-2020,34 m²,9 m,4 m,"110,29 triệu/m²"
28-07-2020,50 m²,12.6 m,3.9 m,90 triệu/m²
28-07-2020,30 m²,5 m,6 m,110 triệu/m²
28-07-2020,110 m²,13 m,7.2 m,"445,45 triệu/m²"
28-07-2020,35 m²,10 m,3.5 m,"85,71 triệu/m²"
28-07-2020,45 m²,11 m,4 m,"115,56 triệu/m²"
28-07-2020,30 m²,10 m,3 m,"83,33 triệu/m²"
28-07-2020,55 m²,11 m,5 m,"114,55 triệu/m²"
28-07-2020,30 m²,8 m,4 m,100 triệu/m²
28-07-2020,36 m²,9 m,4 m,"94,44 triệu/m²"
28-07-2020,38 m²,10 m,4 m,100 triệu/m²
28-07-2020,28 m²,9.3 m,3 m,"92,86 triệu/m²"
28-07-2020,42 m²,11.7 m,3.6 m,"90,48 triệu/m²"
28-07-2020,32 m²,7 m,4.5 m,"82,81 triệu/m²"
28-07-2020,32 m²,8.6 m,3.6 m,"95,31 triệu/m²"
28-07-2020,31 m²,10 m,3.4 m,"88,71 triệu/m²"
28-07-2020,47 m²,11 m,4 m,"180,85 triệu/m²"
28-07-2020,30 m²,7 m,4 m,"59,67 triệu/m²"
28-07-2020,35 m²,7.5 m,4.5 m,"77,14 triệu/m²"
28-07-2020,35 m²,3.8 m,9 m,"69,14 triệu/m²"
28-07-2020,32 m²,4 m,8 m,"110,94 triệu/m²"
28-07-2020,32 m²,11 m,3 m,"101,56 triệu/m²"
28-07-2020,60 m²,5 m,12 m,"96,67 triệu/m²"
28-07-2020,90 m²,1125 m,8 m,"72,22 triệu/m²"
28-07-2020,40 m²,10 m,4 m,137.500 đ/m²
28-07-2020,35 m²,9 m,5 m,"81,43 triệu/m²"
28-07-2020,100 m²,10 m,10 m,79 triệu/m²
28-07-2020,43 m²,9 m,5 m,"89,53 triệu/m²"
28-07-2020,25 m²,7 m,3.7 m,124 triệu/m²
28-07-2020,35 m²,9 m,4 m,"64,29 triệu/m²"
28-07-2020,45 m²,9 m,5 m,"68,89 triệu/m²"
28-07-2020,40 m²,12 m,3.5 m,"61,25 triệu/m²"
28-07-2020,82 m²,18 m,46 m,"119,39 triệu/m²"
28-07-2020,50 m²,10 m,5 m,130 triệu/m²
28-07-2020,54 m²,14 m,4 m,"12,93 triệu/m²"
28-07-2020,56 m²,10 m,5 m,"124,11 triệu/m²"
28-07-2020,37 m²,11 m,3.5 m,"94,59 triệu/m²"
28-07-2020,38 m²,10 m,4 m,"84,21 triệu/m²"
28-07-2020,35 m²,7 m,5 m,"72,86 triệu/m²"
28-07-2020,45 m²,9 m,5 m,"168,89 triệu/m²"
28-07-2020,35 m²,10 m,3.5 m,"81,43 triệu/m²"
28-07-2020,36 m²,9 m,4.1 m,"77,78 triệu/m²"
28-07-2020,41 m²,10 m,4 m,"64,63 triệu/m²"
28-07-2020,35 m²,10 m,3.5 m,"75,71 triệu/m²"
28-07-2020,45 m²,9 m,3.6 m,"48,89 triệu/m²"
28-07-2020,35 m²,9 m,4 m,"71,43 triệu/m²"
28-07-2020,34 m²,8 m,4 m,"67,35 triệu/m²"
28-07-2020,24 m²,6 m,4 m,"81,25 triệu/m²"
28-07-2020,70 m²,14 m,5 m,"171,43 triệu/m²"
28-07-2020,25 m²,5 m,5 m,98 triệu/m²
28-07-2020,32 m²,8 m,4 m,"90,63 triệu/m²"
28-07-2020,48 m²,11.9 m,4.2 m,200 triệu/m²
28-07-2020,50 m²,10 m,5 m,58 triệu/m²
28-07-2020,28 m²,8.1 m,3.3 m,"69,64 triệu/m²"
28-07-2020,36 m²,9 m,4 m,"29,17 triệu/m²"
28-07-2020,51 m²,10 m,52 m,"125,49 triệu/m²"
28-07-2020,23 m²,8.5 m,2.7 m,"58,7 triệu/m²"
28-07-2020,57 m²,13 m,4 m,"50,88 triệu/m²"
28-07-2020,60 m²,10 m,6.2 m,"93,33 triệu/m²"
28-07-2020,38 m²,11 m,3.5 m,"89,47 triệu/m²"
28-07-2020,58 m²,14.5 m,4 m,"118,97 triệu/m²"
28-07-2020,111 m²,27.4 m,4.05 m,"270,27 triệu/m²"
